ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
337;Rua Anísio de Abreu;720;Rua Anísio de Abreu, Número 720 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005811/2024-84;173-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-173-2024.jpg;-42,81020324;-5,083457722
208;Rua Riachuelo;S/Nº;Rua Riachuelo, Número S/Nº (Em frente ao nº 36), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 36);;Centro;00027.005684/2024-13;86-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-86-2024.jpg;-42,81655035;-5,093591094
209;Rua Riachuelo;S/Nº;Rua Riachuelo, Número S/Nº (Ao lado do nº 753) , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Ao lado do nº 753);;Centro;00027.005685/2024-68;87-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-87-2024.jpg;-42,82000229;-5,087282294
256;Rua 13 de Maio;S/Nº;Rua 13 de Maio, Número S/Nº (Em frente ao nº 818), Bairro Centro - Teresina/PI;Sul;Terreno;Abandonado;(Em frente ao nº 818);;Centro;00027.005730/2024-84;116-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-116-2024.jpg;-42,81014064;-5,098170801
154;Rua Félix Pacheco;1655;Rua Félix Pacheco, Número 1655 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005651/2024-73;57-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-57-2024.jpg;-42,80943029;-5,09150347
299;Rua 24 de Janeiro;S/Nº;Rua 24 de Janeiro, Número S/Nº (Ao lado do nº 328), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Ao lado do nº 328);;Centro;00027.005779/2024-37;142-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-142-2024.jpg;-42,81195417;-5,089193509
165;Rua Félix Pacheco;1445;Rua Félix Pacheco, Número 1445 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005655/2024-51;60-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-60-2024.jpg;-42,81111157;-5,092363212
167;Rua Félix Pacheco;1397;Rua Félix Pacheco, Número 1397 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005656/2024-04;61-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-61-2024.jpg;-42,81163715;-5,092607711
178;Rua Olavo Bilac;1618;Rua Olavo Bilac, Número 1618 , Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;;;Centro;00027.005659/2024-30;64-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-64-2024.jpg;-42,8087397;-5,093390005
265;Rua David Caldas;S/Nº;Rua David Caldas, Número S/Nº (Ao lado do nº 830), Bairro Centro - Teresina/PI;Sul;Terreno;Abandonado;(Ao lado do nº 830);;Centro;00027.005744/2024-06;122-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-122-2024.jpg;-42,80964091;-5,098157656
